#Timestamp [s];#kWh stand;#staat
1515736645;0,005;washer on
1515737485;0,034;washer off
1515740568;0,037;washer on
1515748729;1,527;washer off
1515751249;1,53;washer on
1515758751;2,153;washer off
1516179933;0,003;washer on
1516187254;1,171;washer off
1516193744;1,178;washer on
1516200526;1,625;washer off
1516205207;1,63;washer on
1516214150;2,878;washer off
1516254199;0,001;washer on
1516283257;1,248;washer off
1516343100;0,003;washer on
1516350424;0,452;washer off
1516363807;0,462;washer on
1516373109;1,947;washer off
1516377070;1,952;washer on
1516383974;2,338;washer off
1516782316;0,003;washer on
1516789758;1,278;washer off
1516790657;1,279;washer on
1516799120;1,886;washer off
1516812145;1,898;washer on
1516815207;2,355;washer off
1517048886;0,003;washer on
1517057871;1,591;washer off
1517062611;1,595;washer on
1517069634;2,031;washer off
1517128806;0,001;washer on
1517146932;0,746;washer off
1517161876;0,752;washer on
1517162537;0,779;washer off
1517389919;0,003;washer on
1517397600;1,162;washer off
1517401981;1,167;washer on
1517409602;2,397;washer off
1517552716;0,003;washer on
1517560221;1,149;washer off
1517561960;1,152;washer on
1517571744;2,738;washer off
1517572884;2,743;washer on
1517579547;2,983;washer off
1517582966;2,988;washer on
1517590054;3,38;washer off
1517648133;0,003;washer on
1517648133;0,003;washer on
1517655216;0,463;washer off
1517655216;0,463;washer off
1517660858;0,467;washer on
1517660858;0,467;washer on
1517662600;0,468;washer off
1517662600;0,468;washer off
1517665961;0,472;washer on
1517665961;0,472;washer on
1517672323;0,826;washer off
1517672323;0,826;washer off
1517905561;0,004;washer on
1517905561;0,004;washer on
1517911563;1,306;washer off
1517911563;1,306;washer off
1517992613;0,004;washer on
1518000474;1,429;washer off
1518022742;1,444;washer on
1518030125;2,553;washer off
1518172066;0,004;washer on
1518181008;1,587;washer off
1518183468;1,591;washer on
1518190673;2,094;washer off
1518191572;2,094;washer on
1518191813;2,094;washer off
1518193793;2,098;washer on
1518200038;3,032;washer off
1518414930;0,001;washer on
1518442958;1,011;washer off
1518791839;1;washer on
1518794308;2,011;washer off
1518795867;2,014;washer on
1518803129;2,495;washer off
1518795867;2,014;washer on
1518803129;2,495;washer off
1519194444;0,003;washer on
1519201705;0,73;washer off
1519204166;0,731;washer on
1519204406;0,731;washer off
1519208367;0,735;washer on
1519216108;2,121;washer off
1519217908;2,126;washer on
1519223849;2,518;washer off
1519395412;0,004;washer on
1519404895;1,621;washer off
1519457223;0,003;washer on
1519457223;0,003;washer on
1519461004;0,417;washer on
1519464785;0,532;washer off
1519465865;0,534;washer on
1519473067;0,994;washer off
1519481648;0,996;washer on
1519490410;2,281;washer off
1519575681;0,004;washer on
1519583003;0,46;washer off
1519835605;0,004;washer on
1519843647;1,221;washer off
1519996625;0,004;washer on
1520005746;1,398;washer off
1520014089;1,403;washer on
1520022914;2,832;washer off
1520070922;0,004;washer on
1520078483;0,463;washer off
1520079144;0,465;washer on
1520087607;1,636;washer off
1520148037;0,003;washer on
1520153138;0,396;washer on
1520156739;0,484;washer on
1520165740;2,034;washer off
1520577585;0,003;washer on
1520585147;0,531;washer off
1520590907;0,537;washer on
1520602795;2,087;washer on
1520610116;2,575;washer off
1520672532;0,006;washer on
1520676794;0,336;washer off
1520686455;0,344;washer on
1520693657;0,788;washer off
1520775035;0,005;washer on
1520781637;0,487;washer on
1520781997;0,487;washer off
1520784218;0,488;washer on
1520787219;0,979;washer off
1521016587;0,003;washer on
1521024509;1,348;washer off
1521027749;1,352;washer on
1521035429;2,522;washer off
1521274881;0,003;washer on
1521281968;0,564;washer off
1521283829;0,568;washer on
1521293376;2,071;washer off
1521294635;2,074;washer on
1521301238;3,06;washer off
1521373432;0,003;washer on
1521380457;0,447;washer off
1521384898;0,451;washer on
1521393419;1,977;washer off
1521394859;1,978;washer on
1521395099;1,978;washer off
1521612944;0,003;washer on
1521620628;1,328;washer off
1521621587;1,33;washer on
1521628968;2,06;washer off
1521636593;2,067;washer on
1521643854;2,707;washer off
1521646255;2,709;washer on
1521647155;2,709;washer off
1521793890;0,003;washer on
1521802232;1,445;washer off
1521893388;0,002;washer on
1521911750;0,43;washer off
1522223196;0,004;washer on
1522231717;1,501;washer off
1522658331;0,003;washer on
1522666975;1,608;washer off
1522675798;1,615;washer on
1522682941;2,014;washer off
1522685342;2,017;washer on
1522692484;2,474;washer off
1522693565;2,474;washer on
1522693805;2,474;washer off
1522834321;0,004;washer on
1522841883;1,177;washer off
1522852386;1,185;washer on
1522859604;1,574;washer off
1523008193;0,004;washer on
1523016655;1,405;washer off
1523017676;1,408;washer on
1523024757;1,824;washer off
1523025958;1,827;washer on
1523032920;2,198;washer off
1523086812;0,003;washer on
1523094314;0,953;washer off
1523177975;0,003;washer on
1523184998;0,427;washer off
1523431536;0,003;washer on
1523438496;0,437;washer off
1523439756;0,441;washer on
1523447618;1,893;washer off
1523459260;1,902;washer on
1523466341;2,523;washer off
1523599277;0,002;washer on
1523606958;1,333;washer off
1523618726;1,342;washer on
1523625508;1,742;washer off
1524202844;0,003;washer on
1524214913;1,521;washer on
1524222117;1,849;washer off
1524294668;0,003;washer on
1524301392;0,389;washer off
1524305653;0,395;washer on
1524313096;1,462;washer off
1524388274;0,003;washer on
1524396557;1,168;washer off
1524544159;0,001;washer on
1524573443;1,116;washer off
1524814422;0,004;washer on
1524822405;1,369;washer off
1524906485;0,003;washer on
1524913148;0,359;washer off
1524914468;0,361;washer on
1524915908;0,561;washer on
1524921490;0,731;washer off
1555046608;0,002;washer on
1555054528;1,233;washer off
1555069407;1,235;washer on
1555076968;1,884;washer off
1555079787;1,886;washer on
1555087587;2,551;washer off
1555135945;0,002;washer on
1555143326;1,707;washer off
1555159224;1,719;washer on
1555166365;2,08;washer off
1555228522;0,001;washer on
1555236983;1,459;washer off
1555249222;1,461;washer on
1555257142;2,161;washer off
1555678450;0,024;washer on
1555686731;1,355;washer off
1555745769;0,001;washer on
1555752969;0,385;washer off
1555946403;0,023;washer on
1555954205;1,132;washer off
1556095019;0,002;washer on
1556102340;0,485;washer off
1556102879;0,486;washer on
1556110259;0,955;washer off
1556191256;0,024;washer on
1556198637;0,596;washer off
1556260314;0,001;washer on
1556269135;1,367;washer off
1556351392;0,001;washer on
1556356734;0,309;washer off
1556635930;0,002;washer on
1556636531;0,004;washer off
1556703309;0,021;washer on
1556719749;0,62;washer off
1556725388;0,646;washer on
1556730550;0,936;washer off
1556864524;0,002;washer on
1556880544;0,671;washer off
1556881563;0,672;washer on
1556891704;0,99;washer off
1557064618;0,027;washer on
1557071339;0,358;washer off
1557137756;0,075;washer on
1557153897;0,588;washer off
1557465827;0,002;washer on
1557492408;1,375;washer off
1557496666;1,376;washer on
1557505787;1,699;washer off
1557909875;0,002;washer on
1557926616;1,981;washer off
1557932675;2,016;washer on
1557942395;2,851;washer off
1558070551;0,001;washer on
1558077873;0,273;washer off
1558081471;0,297;washer on
1558088012;0,653;washer off
1558095210;0,654;washer on
1558103432;2,118;washer off
1558346783;0,025;washer on
1558362925;0,587;washer off
1558504880;0,027;washer on
1558512740;0,736;washer off
1558529178;0,77;washer on
1558534039;1,37;washer off
1558534699;1,397;washer on
1558540279;2,176;washer off
1558676054;0,002;washer on
1558683315;1,28;washer off
1558873359;0,002;washer on
1558882059;0,318;washer off
1559462009;0,002;washer on
1559470710;1,442;washer off
1559475690;1,444;washer on
1559483610;1,748;washer off
1559486788;1,775;washer on
1559494770;2,574;washer off
1559886892;0,001;washer on
1559895892;0,38;washer off
1559899611;0,382;washer on
1559908610;1,654;washer off
1560151366;0,001;washer on
1560169246;1,514;washer off
1560333819;0,015;washer on
1560342700;0,862;washer off
1560345279;0,899;washer on
1560354098;1,639;washer off
1560489755;0,001;washer on
1560496535;0,275;washer off
1560497495;0,276;washer on
1560506435;1,661;washer off
1560513334;1,664;washer on
1560523534;1,994;washer off
1560529354;2,017;washer on
1560535054;2,691;washer off
1560594332;0,002;washer on
1560597573;0,22;washer off
1561096578;0,002;washer on
1561116319;1,751;washer off
1561197016;0,018;washer on
1561207516;0,598;washer off
1561208115;0,609;washer on
1561217956;1,244;washer off
1561655704;0,002;washer on
1561655704;0,002;washer on
1561664704;1,178;washer off
1561664704;1,178;washer off
1561698422;0,058;washer on
1561698422;0,058;washer on
1561707603;0,791;washer off
1561707603;0,791;washer off
1561980535;0,038;washer on
1561980535;0,038;washer on
1561996855;0,684;washer off
1561996855;0,684;washer off
1562000334;0,685;washer on
1562000334;0,685;washer on
1562003814;0,759;washer off
1562003814;0,759;washer off
1562029374;0,019;washer on
1562029374;0,019;washer on
1562035914;0,314;washer off
1562035914;0,314;washer off
1562044073;0,325;washer on
1562044073;0,325;washer on
1562054094;0,612;washer off
1562054094;0,612;washer off
1562305546;0,001;washer on
1562305546;0,001;washer on
1562314127;1,3;washer off
1562314127;1,3;washer off
1562324386;1,301;washer on
1562324386;1,301;washer on
1562334045;1,636;washer off
1562334045;1,636;washer off
1562396804;0,002;washer on
1562396804;0,002;washer on
1562403584;0,906;washer off
1562403584;0,906;washer off
1562405384;0,928;washer on
1562405384;0,928;washer on
1562412283;1,167;washer off
1562412283;1,167;washer off
1562928869;0,001;washer on
1562928869;0,001;washer on
1562937930;1,292;washer off
1562937930;1,292;washer off
1563009327;0,001;washer on
1563018267;0,344;washer off
1563023007;0,346;washer on
1563032007;1,629;washer off
1563032307;1,631;washer on
1563041487;2,843;washer off
1563180143;0,001;washer on
1563196403;0,639;washer off
1563198742;0,675;washer on
1563208642;1,15;washer off
1563352398;0,024;washer on
1563362478;0,578;washer off
1563363798;0,579;washer on
1563367218;0,67;washer off
1563433516;0,029;washer on
1563443416;0,529;washer off
1563451816;0,55;washer on
1563456795;1,923;washer off
1563523274;0,001;washer on
1563540373;0,708;washer off
1563706449;0,001;washer on
1563715509;1,196;washer off
1563960842;0,001;washer on
1563976922;0,608;washer off
1563981782;0,61;washer on
1563990781;0,893;washer off
1564039440;0,001;washer on
1564042560;0,145;washer off
1564051740;0,146;washer on
1564054980;0,269;washer off
1564212175;0,001;washer on
1564220755;1,25;washer off
1564231855;1,251;washer on
1564247334;3,256;washer off
1564299353;0,001;washer on
1564306913;0,282;washer off
1566634791;0,003;washer on
1566637911;0,124;washer off
1566638451;0,125;washer on
1566641691;0,243;washer off
1566643071;0,274;washer on
1566662690;1,261;washer off
1566710689;0,046;washer on
1566722389;0,956;washer off
1566833686;0,034;washer on
1566843345;0,556;washer off
1566920143;0,001;washer on
1566928903;1,242;washer off
1567161937;0,002;washer on
1567170877;0,328;washer off
1567172317;0,33;washer on
1567181796;1,596;washer off
1567598485;0,001;washer on
1567615225;0,907;washer off
1567757061;0,001;washer on
1567766182;0,343;washer off
1567767201;0,345;washer on
1567776141;1,687;washer off
1567777581;1,69;washer on
1567786761;3,031;washer off
1567855519;0,025;washer on
1568360345;0,002;washer on
1568362484;0,754;washer on
1568368865;1,258;washer off
1568373485;1,288;washer on
1568380085;1,567;washer off
1568530921;0,001;washer on
1568534041;0,173;washer off
1568534521;0,175;washer on
1568543640;0,527;washer off
1568550120;0,53;washer on
1568557200;1,501;washer off
1568638138;0,067;washer on
1568643058;0,447;washer off
1568728195;0,072;washer on
1568732575;0,506;washer off
1568959069;0,001;washer on
1568968309;1,422;washer off
1568971129;1,424;washer on
1568976052;1,681;washer on
1568980369;1,816;washer off
1569056506;0,001;washer on
1569072946;0,589;washer off
1569073606;0,615;washer on
1569081766;1,207;washer off
1569143924;0,001;washer on
1569160124;0,683;washer off
1569166844;0,714;washer on
1569174463;1,313;washer off
1569404197;0,021;washer on
1569410197;0,439;washer off
1569421777;0,457;washer on
1569571173;0,001;washer on
1569580893;1,364;washer off
1569651631;0,001;washer on
1569658531;0,314;washer off
1569669030;0,332;washer on
1569673350;0,596;washer off
1569677550;0,618;washer on
1569683250;0,9;washer off
1569745888;0,024;washer on
1569752128;0,572;washer off
1569754708;0,574;washer on
1569925703;0,033;washer on
1569941903;0,664;washer off
1570191196;0,002;washer on
1570199296;1,351;washer off
1570262234;0,001;washer on
1570271474;0,464;washer off
1570280474;0,466;washer on
1570289414;0,815;washer off
1570350569;0,001;washer on
1570359029;1,246;washer off
1570623142;0,001;washer on
1570629982;1,052;washer off
1570630222;1,076;washer on
1570637122;1,615;washer off
1570771758;0,001;washer on
1570783758;0,425;washer on
1570820417;1,656;washer on
1570886168;0,001;washer on
1570895549;0,5;washer off
1571205141;0,031;washer on
1571211201;0,462;washer off
1571225540;0,463;washer on
1571241800;1,146;washer off
1571383756;0,001;washer on
1571392936;1,423;washer off
1571561531;0,001;washer on
1571570651;0,429;washer off
1571575691;0,431;washer on
1571585591;0,82;washer on
1571592911;1,79;washer off
1571664009;0,022;washer on
1571669949;0,472;washer off
1571903402;0,001;washer on
1571912522;1,342;washer off
1571925422;1,365;washer on
1571932142;1,927;washer off
1572272092;0,001;washer on
1572281032;1,422;washer off
1572435348;0,048;washer on
1572441228;0,516;washer off
1572443028;0,542;washer on
1572449808;1,089;washer off
1572588464;0,001;washer on
1572597464;1,048;washer on
1572606524;2,355;washer off
1572610063;2,357;washer on
1572619003;2,657;washer off
1572705341;0,001;washer on
1572714581;0,467;washer off
1573038332;0,027;washer on
1573047212;1,045;washer off
1573049912;1,069;washer on
1573054592;1,583;washer off
1573215960;0,001;washer on
1573225140;1,545;washer off
1573287778;0,001;washer on
1573294678;0,364;washer off
1573489672;0,002;washer on
1573498492;1,368;washer off
1573639788;0,001;washer on
1573656407;0,898;washer off
1573897240;0,001;washer on
1574000377;0,001;washer on
1574009737;0,5;washer off
1574237310;0,001;washer on
1574240550;0,124;washer off
1574260229;0,147;washer on
1574266469;0,671;washer off
1574406205;0,001;washer on
1574409202;1,263;washer on
1574415145;1,455;washer off
1574418145;1,48;washer on
1574419166;1,998;washer on
1574426844;2,37;washer off
1574588900;0,001;washer on
1574604919;0,559;washer off
1575007687;0,001;washer on
1575015787;1,18;washer off
1575018367;1,182;washer on
1575026767;1,529;washer off
1575031687;1,531;washer on
1575039906;2,973;washer off
1575111124;0,001;washer on
1575119344;0,317;washer off
1575446274;0,001;washer on
1575462834;0,658;washer off
1575465654;0,684;washer on
1575473514;1,59;washer off
1575474414;1,592;washer on
1575613549;0,002;washer on
1575621829;0,523;washer off
1575625189;0,524;washer on
1575633709;2,006;washer off
1575636409;2,007;washer on
1575645108;2,464;washer off
1575709727;0,025;washer on
1579244222;0,001;washer on
1579253162;1,511;washer off
1579256582;1,512;washer on
1579265581;1,986;washer off
1579338419;0,002;washer on
1579341899;0,192;washer off
1579518474;0,027;washer on
1579534673;0,718;washer off
1579685029;0,001;washer on
1579688449;0,16;washer off
1579846604;0,001;washer on
1579855544;0,485;washer off
1579860704;0,487;washer on
1579877503;2,406;washer off
1580033199;0,001;washer on
1580036379;0,269;washer off
1580038719;0,27;washer on
1580042498;0,494;washer off
1580546070;0,001;washer on
1580554290;1,568;washer off
1580635708;0,001;washer on
1580645067;1,47;washer off
1580645907;1,472;washer on
1580648247;1,549;washer off
1580651067;1,55;washer on
1580660307;3,044;washer off
1580894840;0,034;washer on
1580900360;0,831;washer off
1580900660;0,852;washer on
1580906119;1,451;washer off
1580909539;1,452;washer on
1580926219;2,46;washer off
1581004757;0,023;washer on
1581010516;0,936;washer off
1581058635;0,002;washer on
1581065415;1,005;washer off
1581068895;1,008;washer on
1581075374;1,284;washer off
1581079574;1,285;washer on
1581086354;1,573;washer off
1581088874;1,574;washer on
1581503676;0,033;washer on
1581509496;0,863;washer off
1581842126;0,001;washer on
1581851186;0,505;washer off
1581865705;0,53;washer on
1581869365;0,836;washer off
1582268953;0,001;washer on
1582277293;1,744;washer off
1582281433;1,745;washer on
1582290253;2,088;washer off
1582296013;2,09;washer on
1582305492;3,559;washer off
1582531926;0,001;washer on
1582535106;0,274;washer off
1582541165;0,312;washer on
1582548065;0,951;washer off
1582551185;0,985;washer on
1582561265;1,75;washer off
1582624803;0,001;washer on
1582640942;0,633;washer off
1582641602;0,659;washer on
1582648322;1,283;washer off
1582724820;0,025;washer on
1582729680;0,669;washer off
1582881415;0,001;washer on
1582897615;0,998;washer off
1583302963;0,002;washer on
1583312442;1,584;washer off
1583316882;1,586;washer on
1583325402;2,912;washer off
1583326902;2,937;washer on
1583335782;3,874;washer off
1583475038;0,001;washer on
1583481337;0,868;washer off
1583486317;0,87;washer on
1583495557;2,609;washer off
1583498137;2,611;washer on
1583505397;2,907;washer off
1583659952;0,002;washer on
1583669312;0,553;washer off
1583676452;0,554;washer on
1583684851;0,976;washer off
1583823149;0,001;washer on
1583830287;1,102;washer off
1584184969;0,002;washer on
1584193008;1,511;washer off
1584195528;1,513;washer on
1584203748;1,872;washer off
1584438961;0,002;washer on
1584447061;1,331;washer off
1584448201;1,332;washer on
1584451741;1,63;washer off
1584527579;0,034;washer on
1584533399;0,814;washer off
1584639895;0,028;washer on
1584645115;0,607;washer off
1584874369;0,028;washer on
1584883668;0,723;washer off
1584885648;0,73;washer on
1584888708;0,888;washer off
1585053283;0,001;washer on
1585061323;0,374;washer off
1585216179;0,001;washer on
1585224518;1,559;washer off
1585232918;1,56;washer on
1585242518;2,186;washer off
1585303476;0,002;washer on
1585307536;1,256;washer on
1585312716;1,408;washer off
1585491690;0,001;washer on
1585500690;0,436;washer off
1585573228;0,001;washer on
1585576768;0,329;washer off
1585722150;0,001;washer on
1585738350;0,657;washer off
1586012775;0,026;washer on
1586017215;0,362;washer off
1586155271;0,002;washer on
1586171530;0,986;washer off
1586173150;0,987;washer on
1586177710;1,385;washer off
1586268607;0,027;washer on
1586276647;0,91;washer off
1586407864;0,042;washer on
1586416983;1,459;washer off
1586424363;1,472;washer on
1586430603;2,207;washer off
1586436423;2,208;washer on
1586437780;2,424;washer on
1586445602;2,65;washer off
1586615818;0,001;washer on
1586624577;1,555;washer off
1586929668;0,036;washer on
1586936568;0,693;washer off
1586950128;0,695;washer on
1586959248;2,06;washer off
1587200441;0,001;washer on
1587209980;1,529;washer off
1587210760;1,53;washer on
1587219880;1,912;washer off
1587223420;1,939;washer on
1587229062;2,668;washer off
1587288158;0,026;washer on
1587294098;0,303;washer off
1587294938;0,305;washer on
1587304238;1,805;washer off
1587359676;0,045;washer on
1587368256;1,436;washer off
1587371136;1,437;washer on
1587379535;1,868;washer off
1587812963;0,029;washer on
1587821843;0,916;washer off
1587888861;0,002;washer on
1587896421;1,28;washer off
1587912080;1,306;washer on
1587921080;2,119;washer off
1588156213;0,001;washer on
1588159573;0,298;washer off
1588241771;0,002;washer on
1588249390;1,174;washer off
1588315531;0,001;washer on
1588323271;0,436;washer off
1588666359;0,002;washer on
1588674999;1,291;washer off
1588675959;1,292;washer on
1588683399;2,476;washer off
1588917752;0,002;washer on
1588923932;0,844;washer off
